Date,Open,High,Low,Close,Adj Close,Volume
2020-12-03,23.549999,25.620001,23.500000,24.030001,24.030001,85634300
2020-12-04,24.879999,25.240000,23.510000,23.850000,23.850000,56044100
2020-12-07,24.440001,29.000000,24.440001,28.940001,28.940001,118463700
2020-12-08,30.629999,31.240000,27.250000,28.590000,28.590000,124754300
2020-12-09,28.680000,28.850000,25.330000,26.629999,26.629999,79634700
2020-12-10,25.541000,28.040001,25.150000,27.040001,27.040001,57774800
2020-12-11,27.150000,28.270000,26.059999,27.200001,27.200001,52764400
2020-12-14,28.260000,28.260000,26.730000,27.240000,27.240000,44734500
2020-12-15,26.820000,27.100000,25.520000,26.430000,26.430000,49273200
2020-12-16,25.709999,26.160000,25.110001,25.920000,25.920000,44013400
2020-12-17,26.520000,27.450001,26.049999,27.230000,27.230000,53829800
2020-12-18,26.270000,26.850000,25.799999,25.969999,25.969999,71042900
2020-12-21,26.190001,28.700001,25.400000,28.510000,28.510000,76729100
2020-12-22,29.030001,29.420000,26.820000,28.040001,28.040001,66033100
2020-12-23,28.950001,29.389999,28.049999,28.690001,28.690001,58772200
2020-12-24,28.798000,29.160000,27.520000,27.750000,27.750000,26306800
2020-12-28,28.389999,28.590000,25.400000,25.629999,25.629999,55878700
2020-12-29,25.750000,26.181999,24.340000,24.660000,24.660000,47302400
2020-12-30,24.969999,25.910000,24.629999,25.100000,25.100000,34586700
2020-12-31,24.629999,24.719999,23.520000,23.549999,23.549999,39922500
2021-01-04,23.910000,24.500000,22.500000,23.370001,23.370001,44970400
2021-01-05,23.180000,24.670000,22.889999,24.600000,24.600000,29050400
2021-01-06,24.120001,24.459999,23.250000,23.540001,23.540001,32732900
2021-01-07,24.020000,25.190001,23.670000,25.000000,25.000000,32240000
2021-01-08,25.700001,26.440001,24.700001,25.200001,25.200001,41313800
2021-01-11,24.610001,26.600000,24.309999,25.930000,25.930000,32609000
2021-01-12,26.340000,26.420000,25.510000,26.180000,26.180000,26995000
2021-01-13,25.709999,27.430000,25.129999,25.500000,25.500000,51216600
2021-01-14,25.450001,25.620001,24.370001,24.920000,24.920000,32908000
2021-01-15,26.260000,28.000000,25.459999,25.639999,25.639999,92285500
2021-01-19,26.809999,27.540001,26.000000,26.620001,26.620001,48675800
2021-01-20,27.290001,27.299999,25.700001,26.340000,26.340000,37459000
2021-01-21,26.420000,26.680000,25.299999,25.980000,25.980000,29891400
2021-01-22,25.850000,32.650002,25.820000,32.580002,32.580002,156844700
2021-01-25,34.459999,39.580002,29.559999,36.230000,36.230000,191345300
2021-01-26,35.139999,36.869999,34.320000,35.369999,35.369999,65870000
2021-01-27,32.970001,45.000000,32.250000,39.000000,39.000000,170758800
2021-01-28,39.540001,42.000000,33.099998,35.660000,35.660000,85250700
2021-01-29,36.610001,38.009998,34.660000,35.180000,35.180000,42030900
2021-02-01,35.330002,35.619999,32.580002,33.959999,33.959999,43460900
2021-02-02,34.099998,34.200001,30.500000,31.020000,31.020000,69647900
2021-02-03,32.389999,32.950001,31.379999,31.760000,31.760000,35312000
2021-02-04,32.580002,33.180000,31.049999,32.049999,32.049999,31565000
2021-02-05,32.610001,35.200001,31.750000,34.049999,34.049999,62230800
2021-02-08,37.220001,39.220001,35.889999,36.049999,36.049999,72376000
2021-02-09,36.900002,38.255001,36.130001,38.169998,38.169998,44243200
2021-02-10,38.150002,38.240002,35.000000,35.700001,35.700001,45177200
2021-02-11,35.790001,35.980000,32.610001,33.110001,33.110001,51863200
2021-02-12,33.360001,33.650002,31.340000,31.910000,31.910000,60359100
2021-02-16,30.020000,30.440001,27.299999,27.840000,27.840000,178983600
2021-02-17,27.990000,29.730000,27.000000,27.080000,27.080000,149036300
2021-02-18,24.990000,26.309999,24.500000,25.170000,25.170000,307870700
2021-02-19,27.020000,29.959999,26.900000,29.000000,29.000000,318009800
2021-02-22,29.959999,30.190001,27.535999,28.000000,28.000000,181564500
2021-02-23,25.959999,27.459999,23.900000,26.750000,26.750000,144516900
2021-02-24,26.709999,27.230000,25.750000,26.389999,26.389999,89320100
2021-02-25,25.820000,26.440001,23.150000,23.959999,23.959999,160304800
2021-02-26,24.200001,24.500000,22.700001,23.900000,23.900000,118368700
